right_arm_link,right_shoulder_pitch_link,right_shoulder_roll_link,right_shoulder_yaw_link,right_elbow_link,right_wrist_roll_link,right_wrist_pitch_link,right_wrist_yaw_link
0.0,0.39466283,-1.5634917,-0.3804838,0.7210696,0.0,0.0,0.0
0.0,0.39453778,-1.5633097,-0.38062403,0.72171634,0.0,0.0,0.0
0.0,0.3939661,-1.5627959,-0.3807387,0.723075,0.0,0.0,0.0
0.0,0.39278752,-1.5618104,-0.3807982,0.72567374,0.0,0.0,0.0
0.0,0.39063182,-1.5601677,-0.3809597,0.73021376,0.0,0.0,0.0
0.0,0.3869786,-1.557525,-0.38153553,0.73764694,0.0,0.0,0.0
0.0,0.38127708,-1.5531992,-0.38300848,0.74936223,0.0,0.0,0.0
0.0,0.37258437,-1.5462251,-0.38678807,0.76719356,0.0,0.0,0.0
0.0,0.3602557,-1.535298,-0.39508536,0.7934539,0.0,0.0,0.0
0.0,0.3461639,-1.5187565,-0.40959033,0.8316409,0.0,0.0,0.0
0.0,0.33400482,-1.4959394,-0.43279976,0.88753533,0.0,0.0,0.0
0.0,0.32771912,-1.4674215,-0.46761554,0.96873915,0.0,0.0,0.0
0.0,0.3312064,-1.4338098,-0.51282275,1.0774485,0.0,0.0,0.0
0.0,0.35226795,-1.3939126,-0.55653614,1.2070042,0.0,0.0,0.0
0.0,0.391842,-1.3508546,-0.591405,1.3410537,0.0,0.0,0.0
0.0,0.45418987,-1.314028,-0.61228865,1.4733877,0.0,0.0,0.0
0.0,0.54156697,-1.2919885,-0.6093584,1.5995295,0.0,0.0,0.0
0.0,0.65087485,-1.2907208,-0.5691843,1.7107143,0.0,0.0,0.0
0.0,0.7749086,-1.3125818,-0.48316202,1.7976407,0.0,0.0,0.0
0.0,0.9016608,-1.3550888,-0.35779956,1.8562655,0.0,0.0,0.0
0.0,1.0196755,-1.4070835,-0.21488138,1.8872871,0.0,0.0,0.0
0.0,1.1216654,-1.4511924,-0.08526473,1.894729,0.0,0.0,0.0
0.0,1.2058814,-1.4748745,0.0022850907,1.8874345,0.0,0.0,0.0
0.0,1.2761964,-1.47614,0.03743541,1.8802539,0.0,0.0,0.0
0.0,1.3348892,-1.4546514,0.026811393,1.8815857,0.0,0.0,0.0
0.0,1.3784528,-1.4076897,-0.005741882,1.8826241,0.0,0.0,0.0
0.0,1.4117649,-1.3464223,-0.04087253,1.885374,0.0,0.0,0.0
0.0,1.4447942,-1.2947124,-0.07671682,1.8976127,0.0,0.0,0.0
0.0,1.4739952,-1.2618047,-0.09744855,1.9085612,0.0,0.0,0.0
0.0,1.501129,-1.2514569,-0.08623614,1.9118772,0.0,0.0,0.0
0.0,1.526254,-1.2624444,-0.05619983,1.9083046,0.0,0.0,0.0
0.0,1.541861,-1.2793828,-0.042298414,1.901937,0.0,0.0,0.0
0.0,1.5523858,-1.2910118,-0.05201136,1.9009717,0.0,0.0,0.0
0.0,1.5624114,-1.2934862,-0.06889959,1.9046515,0.0,0.0,0.0
0.0,1.5676577,-1.2843791,-0.09187856,1.9111091,0.0,0.0,0.0
0.0,1.5657113,-1.2682253,-0.11582927,1.9176068,0.0,0.0,0.0
0.0,1.5615196,-1.2564939,-0.12414321,1.9198213,0.0,0.0,0.0
0.0,1.5551717,-1.2586386,-0.10873535,1.9199535,0.0,0.0,0.0
0.0,1.5417324,-1.26815,-0.08890888,1.9193673,0.0,0.0,0.0
0.0,1.5241607,-1.275599,-0.08998078,1.9184611,0.0,0.0,0.0
0.0,1.5098065,-1.2807806,-0.09936247,1.9193673,0.0,0.0,0.0
0.0,1.4941281,-1.2800244,-0.102706745,1.919956,0.0,0.0,0.0
0.0,1.4718406,-1.2711456,-0.11510414,1.92,0.0,0.0,0.0
0.0,1.4412543,-1.2586267,-0.12839323,1.92,0.0,0.0,0.0
0.0,1.4016534,-1.2516694,-0.12100516,1.92,0.0,0.0,0.0
0.0,1.3506842,-1.2557795,-0.09195907,1.92,0.0,0.0,0.0
0.0,1.2865376,-1.2675635,-0.0651728,1.92,0.0,0.0,0.0
0.0,1.2115489,-1.2824183,-0.0529356,1.92,0.0,0.0,0.0
0.0,1.125154,-1.2970626,-0.05218514,1.9197425,0.0,0.0,0.0
0.0,1.0235287,-1.3079169,-0.07422677,1.9153152,0.0,0.0,0.0
0.0,0.90576553,-1.3156713,-0.11943921,1.894626,0.0,0.0,0.0
0.0,0.7722166,-1.3292514,-0.16919479,1.8451035,0.0,0.0,0.0
0.0,0.62765545,-1.3595448,-0.20349099,1.7604015,0.0,0.0,0.0
0.0,0.48768207,-1.4102002,-0.2097064,1.6439091,0.0,0.0,0.0
0.0,0.36899728,-1.4735514,-0.18609948,1.5079063,0.0,0.0,0.0
0.0,0.27661166,-1.5338384,-0.14975043,1.3705046,0.0,0.0,0.0
0.0,0.2093303,-1.5777805,-0.12140077,1.2517266,0.0,0.0,0.0
0.0,0.16542068,-1.5969652,-0.103044525,1.1685083,0.0,0.0,0.0
0.0,0.1457543,-1.589385,-0.09326087,1.1263857,0.0,0.0,0.0
0.0,0.14265615,-1.5645759,-0.1033864,1.1157249,0.0,0.0,0.0
0.0,0.15229793,-1.5310317,-0.12883756,1.1206961,0.0,0.0,0.0
0.0,0.17434378,-1.4969603,-0.15164587,1.1275865,0.0,0.0,0.0
0.0,0.20409442,-1.470562,-0.16764945,1.1226531,0.0,0.0,0.0
0.0,0.2456153,-1.4530113,-0.17321564,1.1039256,0.0,0.0,0.0
0.0,0.2857441,-1.4485866,-0.17479959,1.0690947,0.0,0.0,0.0
0.0,0.3323303,-1.4534973,-0.15649103,1.0258237,0.0,0.0,0.0
0.0,0.37626365,-1.4681501,-0.12822531,0.97503656,0.0,0.0,0.0
0.0,0.41156507,-1.4886951,-0.09715715,0.91980606,0.0,0.0,0.0
